Name,Normalized name,Address,Description,Lat,Lng
Cocos (Keeling) Islands, - ,Cocos (Keeling) Islands, - ,-12.170874,96.841739
Colombia, - ,Colombia, - ,4.570868,-74.297333
Comoros, - ,Comoros, - ,-11.6455,43.3333
Congo, - ,Congo, - ,-0.228021,15.827659
Cook Islands, - ,Cook Islands, - ,-21.236736,-159.777671
Costa Rica, - ,Costa Rica, - ,9.748917,-83.753428
Cote D'ivoire, - ,Cote D'ivoire, - ,7.539989,-5.54708
Croatia, - ,Croatia, - ,45.1,15.2
Cuba, - ,Cuba, - ,21.521757,-77.781167
Cyprus, - ,Cyprus, - ,35.126413,33.429859
Czech Republic, - ,Czech Republic, - ,49.817492,15.472962
Denmark, - ,Denmark, - ,56.26392,9.501785
Djibouti, - ,Djibouti, - ,11.825138,42.590275
Dominica, - ,Dominica, - ,15.414999,-61.370976
Dominican Republic, - ,Dominican Republic, - ,18.735693,-70.162651
Ecuador, - ,Ecuador, - ,-1.831239,-78.183406
Egypt, - ,Egypt, - ,26.820553,30.802498
El Salvador, - ,El Salvador, - ,13.794185,-88.89653
Equatorial Guinea, - ,Equatorial Guinea, - ,1.650801,10.267895
Eritrea, - ,Eritrea, - ,15.179384,39.782334
Estonia, - ,Estonia, - ,58.595272,25.013607
Ethiopia, - ,Ethiopia, - ,9.145,40.489673
Falkland Islands (Malvinas), - ,Falkland Islands (Malvinas), - ,-51.796253,-59.523613
Faroe Islands, - ,Faroe Islands, - ,61.892635,-6.911806
Fiji, - ,Fiji, - ,-17.713371,178.065032
Finland, - ,Finland, - ,61.92411,25.748151
France, - ,France, - ,46.227638,2.213749
French Guiana, - ,French Guiana, - ,3.933889,-53.125782
French Polynesia, - ,French Polynesia, - ,-17.679742,-149.406843
French Southern Territories, - ,French Southern Territories, - ,-49.280366,69.348557
Gabon, - ,Gabon, - ,-0.803689,11.609444
Gambia, - ,Gambia, - ,13.443182,-15.310139
Germany, - ,Germany, - ,51.165691,10.451526
Ghana, - ,Ghana, - ,7.946527,-1.023194
Gibraltar, - ,Gibraltar, - ,36.140751,-5.353585
Greece, - ,Greece, - ,39.074208,21.824312
Greenland, - ,Greenland, - ,71.706936,-42.604303
Grenada, - ,Grenada, - ,12.1165,-61.679
Guadeloupe, - ,Guadeloupe, - ,16.265,-61.551
Guam, - ,Guam, - ,13.444304,144.793731
Guatemala, - ,Guatemala, - ,15.783471,-90.230759
Guernsey, - ,Guernsey, - ,49.465691,-2.585278
Guinea, - ,Guinea, - ,9.945587,-9.696645
Guinea-bissau, - ,Guinea-bissau, - ,11.803749,-15.180413
Guyana, - ,Guyana, - ,4.860416,-58.93018
Haiti, - ,Haiti, - ,18.971187,-72.285215
Heard Island and Mcdonald Islands, - ,Heard Island and Mcdonald Islands, - ,-53.08181,73.504158
Honduras, - ,Honduras, - ,15.199999,-86.241905
Hong Kong, - ,Hong Kong, - ,22.396428,114.109497
Hungary, - ,Hungary, - ,47.162494,19.503304
Iceland, - ,Iceland, - ,64.963051,-19.020835
India, - ,India, - ,20.593684,78.96288
Indonesia, - ,Indonesia, - ,-0.789275,113.921327
Iran, - ,Iran, - ,32.427908,53.688046
Iraq, - ,Iraq, - ,33.223191,43.679291
Ireland, - ,Ireland, - ,53.41291,-8.24389
Isle of Man, - ,Isle of Man, - ,54.236107,-4.548056
Israel, - ,Israel, - ,31.046051,34.851612
Italy, - ,Italy, - ,41.87194,12.56738
Jamaica, - ,Jamaica, - ,18.109581,-77.297508
Japan, - ,Japan, - ,36.204824,138.252924
Jersey, - ,Jersey, - ,49.214439,-2.13125
Jordan, - ,Jordan, - ,30.585164,36.238414
Kazakhstan, - ,Kazakhstan, - ,48.019573,66.923684
Kenya, - ,Kenya, - ,-0.023559,37.906193
Kiribati, - ,Kiribati, - ,1.870919,-157.362601
Kuwait, - ,Kuwait, - ,29.31166,47.481766
Kyrgyzstan, - ,Kyrgyzstan, - ,41.20438,74.766098
Laos, - ,Laos, - ,19.85627,102.495496
Latvia, - ,Latvia, - ,56.879635,24.603189
Lebanon, - ,Lebanon, - ,33.854721,35.862285
Lesotho, - ,Lesotho, - ,-29.609988,28.233608
Liberia, - ,Liberia, - ,6.428055,-9.429499
Libyan Arab Jamahiriya, - ,Libyan Arab Jamahiriya, - ,26.3351,17.228331
Liechtenstein, - ,Liechtenstein, - ,47.166,9.555373
Lithuania, - ,Lithuania, - ,55.169438,23.881275
Luxembourg, - ,Luxembourg, - ,49.815273,6.129583
Macao, - ,Macao, - ,22.198745,113.543873
Macedonia, - ,Macedonia, - ,41.608635,21.745275
Madagascar, - ,Madagascar, - ,-18.766947,46.869107
Malawi, - ,Malawi, - ,-13.254308,34.301525
Malaysia, - ,Malaysia, - ,4.210484,101.975766
Maldives, - ,Maldives, - ,1.977247,73.536103
Mali, - ,Mali, - ,17.570692,-3.996166
Malta, - ,Malta, - ,35.937496,14.375416
Marshall Islands, - ,Marshall Islands, - ,11.604021,165.313311
Martinique, - ,Martinique, - ,14.641528,-61.024174
Mauritania, - ,Mauritania, - ,21.00789,-10.940835
Mauritius, - ,Mauritius, - ,-20.348404,57.552152
Mayotte, - ,Mayotte, - ,-12.8275,45.166244
Mexico, - ,Mexico, - ,23.634501,-102.552784
Micronesia, - ,Micronesia, - ,6.887481,158.215072
Moldova, - ,Moldova, - ,47.411631,28.369885
Monaco, - ,Monaco, - ,43.738418,7.424616
Mongolia, - ,Mongolia, - ,46.862496,103.846656
Montenegro, - ,Montenegro, - ,42.708678,19.37439
Montserrat, - ,Montserrat, - ,16.742498,-62.187366
Morocco, - ,Morocco, - ,31.791702,-7.09262
Mozambique, - ,Mozambique, - ,-18.665695,35.529562
Myanmar, - ,Myanmar, - ,21.913965,95.956223
Namibia, - ,Namibia, - ,-22.95764,18.49041
Nauru, - ,Nauru, - ,-0.522778,166.931503
Nepal, - ,Nepal, - ,28.394857,84.124008
Netherlands, - ,Netherlands, - ,52.132633,5.291266
Netherlands Antilles, - ,Netherlands Antilles, - ,12.20189,-68.262382
New Caledonia, - ,New Caledonia, - ,-20.904305,165.618042
New Zealand, - ,New Zealand, - ,-40.900557,174.885971
Nicaragua, - ,Nicaragua, - ,12.865416,-85.207229
Niger, - ,Niger, - ,17.607789,8.081666
Nigeria, - ,Nigeria, - ,9.081999,8.675277
Niue, - ,Niue, - ,-19.054445,-169.867233
Norfolk Island, - ,Norfolk Island, - ,-29.023064,167.939597
North Korea, - ,North Korea, - ,40.339852,127.510093
Northern Mariana Islands, - ,Northern Mariana Islands, - ,15.0979,145.6739
Norway, - ,Norway, - ,60.472024,8.468946
Oman, - ,Oman, - ,21.512583,55.923255
Pakistan, - ,Pakistan, - ,30.375321,69.345116
